,Open,High,Close
0,169.95,171.67,171.05
1,170.43,172.14,171.85
2,172.63,172.92,169.48
3,174.3,174.87,173.07
4,175.05,175.08,174.09
5,175.1,175.5,174.97
6,173.36,175.0,174.96
7,170.78,173.7,173.14
8,170.29,170.56,169.98
9,171.04,171.39,170.15
10,171.18,171.87,171.1
11,169.97,170.32,169.08
12,173.04,173.48,171.34
13,173.5,174.5,173.97
14,175.11,175.38,174.67
15,175.11,176.1,175.88
16,174.66,176.24,176.24
17,173.91,175.25,174.81
18,172.36,174.99,174.25
19,174.0,174.26,172.5
20,166.6,168.5,168.11
21,169.87,169.94,166.89
22,167.9,169.65,169.04
23,163.89,168.07,166.72
24,159.29,163.6,163.05
25,157.23,157.83,157.41
26,156.91,157.55,156.41
27,156.29,157.42,157.1
28,156.89,157.69,156.17
29,156.61,157.75,156.25
30,156.75,157.08,155.98
31,160.42,160.71,159.76
32,159.78,160.87,160.47
33,157.9,160.0,159.88
34,156.73,157.28,156.99
35,156.35,157.37,156.0
36,155.97,156.98,156.55
37,156.06,158.0,155.9
38,155.81,156.73,155.84
39,154.97,155.49,155.3
40,154.18,155.44,155.39
41,153.63,153.86,153.48
42,154.01,155.09,154.48
43,154.26,154.45,153.81
44,153.21,154.13,154.12
45,153.89,154.28,153.28
46,153.8,154.72,154.23
47,151.78,153.92,153.14
48,149.99,151.83,150.55
49,151.54,152.27,151.89
50,155.8,155.8,153.39
51,157.9,158.26,156.07
52,159.51,159.77,158.73
53,160.11,160.5,158.67
54,158.47,160.97,159.88
55,158.99,159.4,158.28
56,159.87,159.96,159.65
57,162.61,163.96,160.86
58,160.5,162.05,161.5
59,160.86,161.15,158.63
60,162.09,162.24,161.26
61,162.71,162.99,161.91
62,163.75,164.25,162.08
63,164.8,164.94,164.05
64,163.64,164.52,164.0
65,163.8,163.89,163.35
66,160.1,163.12,162.91
67,160.14,162.0,161.47
68,159.65,160.56,159.86
69,160.43,160.74,159.27
70,159.07,160.47,159.98
71,158.23,160.0,159.78
72,157.5,157.89,157.21
73,157.86,159.5,157.5
74,160.52,160.71,157.86
75,161.94,162.51,160.95
76,160.66,162.2,161.6
77,159.32,160.21,159.85
78,156.6,158.57,157.48
79,159.9,160.0,155.32
80,159.26,161.27,161.06
81,158.6,161.83,160.08
82,157.06,158.92,158.81
83,156.07,157.4,156.39
84,157.05,157.21,155.57
85,159.28,159.75,157.14
86,149.1,150.22,150.05
87,149.9,150.33,148.73
88,149.89,150.23,149.5
89,153.75,153.99,150.56
90,153.35,153.93,153.46
91,151.8,153.84,152.74
92,150.58,152.44,152.09
93,149.99,150.44,150.27
94,151.5,151.74,150.34
95,150.48,151.42,151.02
96,149.2,150.13,150.08
97,148.82,150.9,149.56
98,147.97,149.33,149.04
99,145.5,148.49,147.77
100,145.87,146.18,145.74
101,144.73,145.85,145.53
102,144.11,145.95,145.06
103,142.9,144.75,144.18
104,143.02,143.5,142.73
105,143.69,144.79,144.09
106,144.88,145.3,143.5
107,144.45,144.96,144.02
108,144.71,145.13,143.68
109,144.49,146.11,145.83
110,145.01,146.16,143.73
111,147.17,148.28,145.82
112,145.13,147.16,146.28
113,145.77,146.7,145.63
114,145.52,146.07,145.87
115,146.87,146.87,145.01
116,143.66,146.74,146.34
117,143.78,144.5,142.27
118,143.32,144.48,144.29
119,147.5,147.5,145.16
120,147.16,147.45,146.59
121,145.74,146.09,145.42
122,155.19,155.19,148.98
123,155.25,155.54,154.99
124,155.02,155.98,155.37
125,153.9,155.81,154.45
126,154.34,154.45,153.93
127,153.58,155.45,155.45
128,153.17,153.33,153.18
129,153.97,154.17,152.76
130,153.42,154.43,153.67
131,154.0,154.24,153.61
132,153.73,154.35,153.87
133,153.84,154.17,153.34
134,154.9,154.9,153.8
135,154.0,154.58,153.99
136,153.38,153.98,153.06
137,151.27,153.34,152.54
138,153.6,154.57,150.25
